location,new_cases,new_deaths,new_vaccinations,population
United Kingdom,18241147.0,160727.0,137249833.0,68207114.0
United States,79143715.0,954518.0,553749760.0,332915074.0
Upper middle income,118212049.0,2421471.0,4804681232.0,2513672790.0
Uruguay,846889.0,7005.0,7622054.0,3485152.0
Uzbekistan,236596.0,1637.0,15127072.0,33935765.0
Vanuatu,19.0,1.0,0.0,314464.0
Vatican,29.0,0.0,0.0,812.0
Venezuela,515582.0,5645.0,0.0,28704947.0
Vietnam,3709481.0,40637.0,120902538.0,98168829.0
Wallis and Futuna,454.0,7.0,0.0,11094.0
World,439011701.0,5946817.0,11225161340.0,7874965730.0
Yemen,11772.0,2135.0,0.0,30490639.0
Zambia,313203.0,3955.0,1321156.0,18920657.0
Zimbabwe,237509.0,5396.0,7080893.0,15092171.0
